"","Word1","Word2","Creativity","FF","Class","Individual"
"35","Plumeria","Relaxing",1.11111111111111,0.903935347,"ac.americans",3
"36","Relaxing","Scented",1.11111111111111,0.903935347,"ac.americans",3
"37","Scented","Wick",1.11111111111111,0.903935347,"ac.americans",3
"38","Wick","12hourburn",1.11111111111111,0.903935347,"ac.americans",3
"39","12hourburn","Gardenrain",1.11111111111111,0.903935347,"ac.americans",3
"40","Gardenrain","Grapefruit",1.11111111111111,0.903935347,"ac.americans",3
"41","Grapefruit","Tealight",1.11111111111111,0.903935347,"ac.americans",3
"42","Tealight","Citrus",1.11111111111111,0.903935347,"ac.americans",3
"43","Citrus","Candy",1.11111111111111,0.903935347,"ac.americans",3
"44","Candy","Lighter",1.11111111111111,0.903935347,"ac.americans",3
"45","toaster","Strudel",2,0.898024930547,"ac.americans",4
"46","Strudel","German",2,0.898024930547,"ac.americans",4
"47","German","Soldier",2,0.898024930547,"ac.americans",4
"48","Soldier","Veteran",2,0.898024930547,"ac.americans",4
"49","Veteran","Benefits",2,0.898024930547,"ac.americans",4
"50","Benefits","Health",2,0.898024930547,"ac.americans",4
"51","Health","Poor",2,0.898024930547,"ac.americans",4
"52","Poor","Rich",2,0.898024930547,"ac.americans",4
"53","Rich","Money",2,0.898024930547,"ac.americans",4
"54","Money","Cash",2,0.898024930547,"ac.americans",4
"55","Cash","Wallet",2,0.898024930547,"ac.americans",4
"56","Wallet","Purse",2,0.898024930547,"ac.americans",4
"57","Purse","Outfit",2,0.898024930547,"ac.americans",4
"58","Outfit","New",2,0.898024930547,"ac.americans",4
"59","New","Old",2,0.898024930547,"ac.americans",4
"60","Old","Maid",2,0.898024930547,"ac.americans",4
"61","Maid","Housekeeper",2,0.898024930547,"ac.americans",4
"62","Housekeeper","Dust",2,0.898024930547,"ac.americans",4
"63","Dust","Mop",2,0.898024930547,"ac.americans",4
"64","bear","mountain",2.52777777777778,0.897950078,"ac.americans",5
"65","mountain","newjersey",2.52777777777778,0.897950078,"ac.americans",5
"66","newjersey","salon",2.52777777777778,0.897950078,"ac.americans",5
"67","salon","tv",2.52777777777778,0.897950078,"ac.americans",5
"68","tv","reality",2.52777777777778,0.897950078,"ac.americans",5
"69","reality","sundays",2.52777777777778,0.897950078,"ac.americans",5
"70","sundays","teresa",2.52777777777778,0.897950078,"ac.americans",5
"71","teresa","jail",2.52777777777778,0.897950078,"ac.americans",5
"72","jail","book",2.52777777777778,0.897950078,"ac.americans",5
"73","book","Amazon",2.52777777777778,0.897950078,"ac.americans",5
"74","Amazon","credit",2.52777777777778,0.897950078,"ac.americans",5
"75","credit","gift",2.52777777777778,0.897950078,"ac.americans",5
"76","gift","ribbon",2.52777777777778,0.897950078,"ac.americans",5
"77","ribbon","colors",2.52777777777778,0.897950078,"ac.americans",5
"78","colors","red",2.52777777777778,0.897950078,"ac.americans",5
"79","red","firetruck",2.52777777777778,0.897950078,"ac.americans",5
"80","firetruck","subs",2.52777777777778,0.897950078,"ac.americans",5
"81","subs","cheese",2.52777777777778,0.897950078,"ac.americans",5
"82","cheese","lunch",2.52777777777778,0.897950078,"ac.americans",5
"83","candle","dandy",1.58333333333333,0.894390362,"ac.americans",6
"84","dandy","fanny",1.58333333333333,0.894390362,"ac.americans",6
"85","fanny","sandy",1.58333333333333,0.894390362,"ac.americans",6
"86","sandy","candy",1.58333333333333,0.894390362,"ac.americans",6
"87","candy","handy",1.58333333333333,0.894390362,"ac.americans",6
"88","handy","mandy",1.58333333333333,0.894390362,"ac.americans",6
"89","mandy","randy",1.58333333333333,0.894390362,"ac.americans",6
"90","randy","trendy",1.58333333333333,0.894390362,"ac.americans",6
"91","trendy","tend",1.58333333333333,0.894390362,"ac.americans",6
"92","tend","bend",1.58333333333333,0.894390362,"ac.americans",6
"93","bend","lend",1.58333333333333,0.894390362,"ac.americans",6
"94","lend","send",1.58333333333333,0.894390362,"ac.americans",6
"95","send","mend",1.58333333333333,0.894390362,"ac.americans",6
"96","mend","sat",1.58333333333333,0.894390362,"ac.americans",6
"97","sat","cat",1.58333333333333,0.894390362,"ac.americans",6
"98","cat","bat",1.58333333333333,0.894390362,"ac.americans",6
"99","bat","eat",1.58333333333333,0.894390362,"ac.americans",6
"100","eat","feat",1.58333333333333,0.894390362,"ac.americans",6
"101","feat","treat",1.58333333333333,0.894390362,"ac.americans",6
"102","bear","Yellowstone",2.47222222222222,0.893220491,"ac.americans",7
"103","Yellowstone","geiser",2.47222222222222,0.893220491,"ac.americans",7
"104","geiser","water",2.47222222222222,0.893220491,"ac.americans",7
"105","water","shrimp",2.47222222222222,0.893220491,"ac.americans",7
"106","shrimp","food",2.47222222222222,0.893220491,"ac.americans",7
"107","food","culture",2.47222222222222,0.893220491,"ac.americans",7
"108","culture","travel",2.47222222222222,0.893220491,"ac.americans",7
"109","travel","Rome",2.47222222222222,0.893220491,"ac.americans",7
"110","Rome","Colosseum",2.47222222222222,0.893220491,"ac.americans",7
"111","Colosseum","Death",2.47222222222222,0.893220491,"ac.americans",7
"112","Death","Life",2.47222222222222,0.893220491,"ac.americans",7
"113","Life","birth",2.47222222222222,0.893220491,"ac.americans",7
"114","birth","children",2.47222222222222,0.893220491,"ac.americans",7
"115","children","future",2.47222222222222,0.893220491,"ac.americans",7
"116","future","technology",2.47222222222222,0.893220491,"ac.americans",7
"117","technology","computersoftware",2.47222222222222,0.893220491,"ac.americans",7
"118","computersoftware","programming",2.47222222222222,0.893220491,"ac.americans",7
"119","programming","Python",2.47222222222222,0.893220491,"ac.americans",7
"120","Python","beautiful",2.47222222222222,0.893220491,"ac.americans",7
"121","paper","check",2.47222222222222,0.888329193,"ac.americans",8
"122","check","balance",2.47222222222222,0.888329193,"ac.americans",8
"123","balance","scale",2.47222222222222,0.888329193,"ac.americans",8
"124","scale","lime",2.47222222222222,0.888329193,"ac.americans",8
"125","lime","citrus",2.47222222222222,0.888329193,"ac.americans",8
"126","citrus","tomato",2.47222222222222,0.888329193,"ac.americans",8
"127","tomato","pepper",2.47222222222222,0.888329193,"ac.americans",8
"128","pepper","thought",2.47222222222222,0.888329193,"ac.americans",8
"129","thought","speech",2.47222222222222,0.888329193,"ac.americans",8
"130","speech","bubble",2.47222222222222,0.888329193,"ac.americans",8
"131","bubble","squeak",2.47222222222222,0.888329193,"ac.americans",8
"132","squeak","taco",2.47222222222222,0.888329193,"ac.americans",8
"133","taco","pittance",2.47222222222222,0.888329193,"ac.americans",8
"134","pittance","olive",2.47222222222222,0.888329193,"ac.americans",8
"135","olive","suspect",2.47222222222222,0.888329193,"ac.americans",8
"136","suspect","fishy",2.47222222222222,0.888329193,"ac.americans",8
"137","fishy","canned",2.47222222222222,0.888329193,"ac.americans",8
"138","canned","dwelling",2.47222222222222,0.888329193,"ac.americans",8
"139","dwelling","piece",2.47222222222222,0.888329193,"ac.americans",8
"140","snow","messy",2.16666666666667,0.888081148,"ac.americans",9
"141","messy","cluttered",2.16666666666667,0.888081148,"ac.americans",9
"142","cluttered","things",2.16666666666667,0.888081148,"ac.americans",9
"143","things","books",2.16666666666667,0.888081148,"ac.americans",9
"144","books","curiousity",2.16666666666667,0.888081148,"ac.americans",9
"145","curiousity","buying",2.16666666666667,0.888081148,"ac.americans",9
"146","buying","indulgence",2.16666666666667,0.888081148,"ac.americans",9
"147","indulgence","unneccessary",2.16666666666667,0.888081148,"ac.americans",9
"148","unneccessary","wanting",2.16666666666667,0.888081148,"ac.americans",9
"149","wanting","craving",2.16666666666667,0.888081148,"ac.americans",9
"150","craving","uncontrollable",2.16666666666667,0.888081148,"ac.americans",9
"151","uncontrollable","wild",2.16666666666667,0.888081148,"ac.americans",9
"152","wild","crazy",2.16666666666667,0.888081148,"ac.americans",9
"153","crazy","obsessive",2.16666666666667,0.888081148,"ac.americans",9
"154","obsessive","expensive",2.16666666666667,0.888081148,"ac.americans",9
"155","expensive","debt",2.16666666666667,0.888081148,"ac.americans",9
"156","debt","paying",2.16666666666667,0.888081148,"ac.americans",9
"157","paying","income",2.16666666666667,0.888081148,"ac.americans",9
"158","income","money",2.16666666666667,0.888081148,"ac.americans",9
"159","paper","mill",1.94444444444444,0.887378113664,"ac.americans",10
"160","mill","millstone",1.94444444444444,0.887378113664,"ac.americans",10
"161","millstone","quarry",1.94444444444444,0.887378113664,"ac.americans",10
"162","quarry","water",1.94444444444444,0.887378113664,"ac.americans",10
"163","water","air",1.94444444444444,0.887378113664,"ac.americans",10
"164","air","plane",1.94444444444444,0.887378113664,"ac.americans",10
"165","plane","airport",1.94444444444444,0.887378113664,"ac.americans",10
"166","airport","travel",1.94444444444444,0.887378113664,"ac.americans",10
"167","travel","ocean",1.94444444444444,0.887378113664,"ac.americans",10
"168","ocean","lovely",1.94444444444444,0.887378113664,"ac.americans",10
"169","lovely","relaxation",1.94444444444444,0.887378113664,"ac.americans",10
"170","relaxation","love",1.94444444444444,0.887378113664,"ac.americans",10
"171","love","peace",1.94444444444444,0.887378113664,"ac.americans",10
"172","peace","harmony",1.94444444444444,0.887378113664,"ac.americans",10
"173","harmony","woodstock",1.94444444444444,0.887378113664,"ac.americans",10
"174","woodstock","hippy",1.94444444444444,0.887378113664,"ac.americans",10
"175","hippy","commune",1.94444444444444,0.887378113664,"ac.americans",10
"176","commune","peace",1.94444444444444,0.887378113664,"ac.americans",10
"177","peace","love",1.94444444444444,0.887378113664,"ac.americans",10
"178","candle","romantic",1.63888888888889,0.883693884,"ac.americans",11
"179","romantic","refreshing",1.63888888888889,0.883693884,"ac.americans",11
"180","refreshing","scented",1.63888888888889,0.883693884,"ac.americans",11
"181","scented","claimed",1.63888888888889,0.883693884,"ac.americans",11
"182","claimed","holiday",1.63888888888889,0.883693884,"ac.americans",11
"183","holiday","Dinner",1.63888888888889,0.883693884,"ac.americans",11
"184","Dinner","light",1.63888888888889,0.883693884,"ac.americans",11
"185","light","warmth",1.63888888888889,0.883693884,"ac.americans",11
"186","warmth","relaxing",1.63888888888889,0.883693884,"ac.americans",11
"187","relaxing","refreshing",1.63888888888889,0.883693884,"ac.americans",11
"188","refreshing","wax",1.63888888888889,0.883693884,"ac.americans",11
"189","wax","wick",1.63888888888889,0.883693884,"ac.americans",11
"190","wick","designed",1.63888888888889,0.883693884,"ac.americans",11
"191","designed","brithday",1.63888888888889,0.883693884,"ac.americans",11
"192","brithday","anniversary",1.63888888888889,0.883693884,"ac.americans",11
"193","anniversary","wedding",1.63888888888889,0.883693884,"ac.americans",11
"194","wedding","vacation",1.63888888888889,0.883693884,"ac.americans",11
"195","vacation","love",1.63888888888889,0.883693884,"ac.americans",11
"196","love","happy",1.63888888888889,0.883693884,"ac.americans",11
"197","candle","birthday",1.88888888888889,0.880852376443,"ac.americans",12
"198","birthday","card",1.88888888888889,0.880852376443,"ac.americans",12
"199","card","business",1.88888888888889,0.880852376443,"ac.americans",12
"200","business","graduate",1.88888888888889,0.880852376443,"ac.americans",12
"201","graduate","masters",1.88888888888889,0.880852376443,"ac.americans",12
"202","masters","doctorate",1.88888888888889,0.880852376443,"ac.americans",12
"203","doctorate","teach",1.88888888888889,0.880852376443,"ac.americans",12
"204","teach","job",1.88888888888889,0.880852376443,"ac.americans",12
"205","job","doctor",1.88888888888889,0.880852376443,"ac.americans",12
"206","doctor","nurse",1.88888888888889,0.880852376443,"ac.americans",12
"207","nurse","bloodtest",1.88888888888889,0.880852376443,"ac.americans",12
"208","bloodtest","positive",1.88888888888889,0.880852376443,"ac.americans",12
"209","positive","chronics",1.88888888888889,0.880852376443,"ac.americans",12
"210","chronics","dope",1.88888888888889,0.880852376443,"ac.americans",12
"211","dope","drugs",1.88888888888889,0.880852376443,"ac.americans",12
"212","drugs","stupid",1.88888888888889,0.880852376443,"ac.americans",12
"213","stupid","illegal",1.88888888888889,0.880852376443,"ac.americans",12
"214","illegal","jail",1.88888888888889,0.880852376443,"ac.americans",12
"215","jail","cliff",1.88888888888889,0.880852376443,"ac.americans",12
"216","paper","Money",1.61111111111111,0.879113195,"ac.americans",13
"217","Money","Worthless",1.61111111111111,0.879113195,"ac.americans",13
"218","Worthless","Gold",1.61111111111111,0.879113195,"ac.americans",13
"219","Gold","Value",1.61111111111111,0.879113195,"ac.americans",13
"220","Value","Bargin",1.61111111111111,0.879113195,"ac.americans",13
"221","Bargin","Sale",1.61111111111111,0.879113195,"ac.americans",13
"222","Sale","Blackfriday",1.61111111111111,0.879113195,"ac.americans",13
"223","Blackfriday","Thanksgiving",1.61111111111111,0.879113195,"ac.americans",13
"224","Thanksgiving","Holiday",1.61111111111111,0.879113195,"ac.americans",13
"225","Holiday","Vacation",1.61111111111111,0.879113195,"ac.americans",13
"226","Vacation","Neworleans",1.61111111111111,0.879113195,"ac.americans",13
"227","Neworleans","Voodoo",1.61111111111111,0.879113195,"ac.americans",13
"228","Voodoo","Food",1.61111111111111,0.879113195,"ac.americans",13
"229","Food","Twosisters",1.61111111111111,0.879113195,"ac.americans",13
"230","Twosisters","Crawfish",1.61111111111111,0.879113195,"ac.americans",13
"231","Crawfish","Gater",1.61111111111111,0.879113195,"ac.americans",13
"232","Gater","Bayou",1.61111111111111,0.879113195,"ac.americans",13
"233","Bayou","Burbonst",1.61111111111111,0.879113195,"ac.americans",13
"234","Burbonst","Mardigra",1.61111111111111,0.879113195,"ac.americans",13
"235","toaster","oven",2.13888888888889,0.87871968,"ac.americans",14
"236","oven","maker",2.13888888888889,0.87871968,"ac.americans",14
"237","maker","fantastic",2.13888888888889,0.87871968,"ac.americans",14
"238","fantastic","bubbles",2.13888888888889,0.87871968,"ac.americans",14
"239","bubbles","gum",2.13888888888889,0.87871968,"ac.americans",14
"240","gum","road",2.13888888888889,0.87871968,"ac.americans",14
"241","road","softball",2.13888888888889,0.87871968,"ac.americans",14
"242","softball","reed",2.13888888888889,0.87871968,"ac.americans",14
"243","reed","hunting",2.13888888888889,0.87871968,"ac.americans",14
"244","hunting","fishing",2.13888888888889,0.87871968,"ac.americans",14
"245","fishing","rainbow",2.13888888888889,0.87871968,"ac.americans",14
"246","rainbow","gold",2.13888888888889,0.87871968,"ac.americans",14
"247","gold","silver",2.13888888888889,0.87871968,"ac.americans",14
"248","silver","rust",2.13888888888889,0.87871968,"ac.americans",14
"249","rust","water",2.13888888888889,0.87871968,"ac.americans",14
"250","water","oxygen",2.13888888888889,0.87871968,"ac.americans",14
"251","oxygen","hydride",2.13888888888889,0.87871968,"ac.americans",14
"252","hydride","ben",2.13888888888889,0.87871968,"ac.americans",14
"253","ben","chemistry",2.13888888888889,0.87871968,"ac.americans",14
"254","table","Dexter",1.77777777777778,0.877726497213,"ac.americans",15
"255","Dexter","Fund",1.77777777777778,0.877726497213,"ac.americans",15
"256","Fund","Absolute",1.77777777777778,0.877726497213,"ac.americans",15
"257","Absolute","Brute",1.77777777777778,0.877726497213,"ac.americans",15
"258","Brute","Vagina",1.77777777777778,0.877726497213,"ac.americans",15
"259","Vagina","Public",1.77777777777778,0.877726497213,"ac.americans",15
"260","Public","Also",1.77777777777778,0.877726497213,"ac.americans",15
"261","Also","Evidence",1.77777777777778,0.877726497213,"ac.americans",15
"262","Evidence","Total",1.77777777777778,0.877726497213,"ac.americans",15
"263","Total","Commitment",1.77777777777778,0.877726497213,"ac.americans",15
"264","Commitment","Justice",1.77777777777778,0.877726497213,"ac.americans",15
"265","Justice","Power",1.77777777777778,0.877726497213,"ac.americans",15
"266","Power","Love",1.77777777777778,0.877726497213,"ac.americans",15
"267","Love","Peace",1.77777777777778,0.877726497213,"ac.americans",15
"268","Peace","Truth",1.77777777777778,0.877726497213,"ac.americans",15
"269","Truth","Forgiveness",1.77777777777778,0.877726497213,"ac.americans",15
"270","Forgiveness","Absolution",1.77777777777778,0.877726497213,"ac.americans",15
"271","Absolution","Free",1.77777777777778,0.877726497213,"ac.americans",15
"272","Free","Power",1.77777777777778,0.877726497213,"ac.americans",15
"273","toaster","oven",1.63888888888889,0.875656676,"ac.americans",16
"274","oven","cheese",1.63888888888889,0.875656676,"ac.americans",16
"275","cheese","grilled",1.63888888888889,0.875656676,"ac.americans",16
"276","grilled","barbecue",1.63888888888889,0.875656676,"ac.americans",16
"277","barbecue","summer",1.63888888888889,0.875656676,"ac.americans",16
"278","summer","soft",1.63888888888889,0.875656676,"ac.americans",16
"279","soft","breeze",1.63888888888889,0.875656676,"ac.americans",16
"280","breeze","jazz",1.63888888888889,0.875656676,"ac.americans",16
"281","jazz","piano",1.63888888888889,0.875656676,"ac.americans",16
"282","piano","improvisation",1.63888888888889,0.875656676,"ac.americans",16
"283","improvisation","harmony",1.63888888888889,0.875656676,"ac.americans",16
"284","harmony","rhythm",1.63888888888889,0.875656676,"ac.americans",16
"285","rhythm","syncopation",1.63888888888889,0.875656676,"ac.americans",16
"286","syncopation","time",1.63888888888889,0.875656676,"ac.americans",16
"287","time","signature",1.63888888888889,0.875656676,"ac.americans",16
"288","signature","Concerto",1.63888888888889,0.875656676,"ac.americans",16
"289","Concerto","for",1.63888888888889,0.875656676,"ac.americans",16
"290","for","Orchestra",1.63888888888889,0.875656676,"ac.americans",16
"291","Orchestra","blues",1.63888888888889,0.875656676,"ac.americans",16
"292","snow","blower",1.36111111111111,0.875635075,"ac.americans",17
"293","blower","shovel",1.36111111111111,0.875635075,"ac.americans",17
"294","shovel","plow",1.36111111111111,0.875635075,"ac.americans",17
"295","plow","storm",1.36111111111111,0.875635075,"ac.americans",17
"296","storm","skis",1.36111111111111,0.875635075,"ac.americans",17
"297","skis","board",1.36111111111111,0.875635075,"ac.americans",17
"298","board","chains",1.36111111111111,0.875635075,"ac.americans",17
"299","chains","bunny",1.36111111111111,0.875635075,"ac.americans",17
"300","bunny","drift",1.36111111111111,0.875635075,"ac.americans",17
"301","drift","feild",1.36111111111111,0.875635075,"ac.americans",17
"302","feild","flack",1.36111111111111,0.875635075,"ac.americans",17
"303","flack","show",1.36111111111111,0.875635075,"ac.americans",17
"304","show","cone",1.36111111111111,0.875635075,"ac.americans",17
"305","cone","moblie",1.36111111111111,0.875635075,"ac.americans",17
"306","moblie","cave",1.36111111111111,0.875635075,"ac.americans",17
"307","cave","bank",1.36111111111111,0.875635075,"ac.americans",17
"308","bank","jump",1.36111111111111,0.875635075,"ac.americans",17
"309","jump","shoes",1.36111111111111,0.875635075,"ac.americans",17
"310","shoes","bug",1.36111111111111,0.875635075,"ac.americans",17
"311","toaster","brown",1.94444444444444,0.874198996,"ac.americans",18
"312","brown","crispy",1.94444444444444,0.874198996,"ac.americans",18
"313","crispy","bread",1.94444444444444,0.874198996,"ac.americans",18
"314","bread","bagels",1.94444444444444,0.874198996,"ac.americans",18
"315","bagels","butter",1.94444444444444,0.874198996,"ac.americans",18
"316","butter","jelly",1.94444444444444,0.874198996,"ac.americans",18
"317","jelly","jam",1.94444444444444,0.874198996,"ac.americans",18
"318","jam","preserves",1.94444444444444,0.874198996,"ac.americans",18
"319","preserves","animals",1.94444444444444,0.874198996,"ac.americans",18
"320","animals","wildlife",1.94444444444444,0.874198996,"ac.americans",18
"321","wildlife","sqirrels",1.94444444444444,0.874198996,"ac.americans",18
"322","sqirrels","possums",1.94444444444444,0.874198996,"ac.americans",18
"323","possums","rabbits",1.94444444444444,0.874198996,"ac.americans",18
"324","rabbits","hutch",1.94444444444444,0.874198996,"ac.americans",18
"325","hutch","dinnerware",1.94444444444444,0.874198996,"ac.americans",18
"326","dinnerware","linens",1.94444444444444,0.874198996,"ac.americans",18
"327","linens","towels",1.94444444444444,0.874198996,"ac.americans",18
"328","towels","sheets",1.94444444444444,0.874198996,"ac.americans",18
"329","sheets","bedding",1.94444444444444,0.874198996,"ac.americans",18
"330","toaster","strudel",2,0.87355295,"ac.americans",19
"331","strudel","travel",2,0.87355295,"ac.americans",19
"332","travel","suitcase",2,0.87355295,"ac.americans",19
"333","suitcase","folding",2,0.87355295,"ac.americans",19
"334","folding","ironing",2,0.87355295,"ac.americans",19
"335","ironing","laundry",2,0.87355295,"ac.americans",19
"336","laundry","hangers",2,0.87355295,"ac.americans",19
"337","hangers","closet",2,0.87355295,"ac.americans",19
"338","closet","house",2,0.87355295,"ac.americans",19
"339","house","street",2,0.87355295,"ac.americans",19
"340","street","park",2,0.87355295,"ac.americans",19
"341","park","pool",2,0.87355295,"ac.americans",19
"342","pool","dog",2,0.87355295,"ac.americans",19
"343","dog","tree",2,0.87355295,"ac.americans",19
"344","tree","leaves",2,0.87355295,"ac.americans",19
"345","leaves","roses",2,0.87355295,"ac.americans",19
"346","roses","vines",2,0.87355295,"ac.americans",19
"347","vines","horse",2,0.87355295,"ac.americans",19
"348","horse","cow",2,0.87355295,"ac.americans",19
"349","toaster","Hamster",2.30555555555556,0.871333483921,"ac.americans",20
"350","Hamster","Frog",2.30555555555556,0.871333483921,"ac.americans",20
"351","Frog","Word",2.30555555555556,0.871333483921,"ac.americans",20
"352","Word","Leap",2.30555555555556,0.871333483921,"ac.americans",20
"353","Leap","Lead",2.30555555555556,0.871333483921,"ac.americans",20
"354","Lead","Strong",2.30555555555556,0.871333483921,"ac.americans",20
"355","Strong","Hug",2.30555555555556,0.871333483921,"ac.americans",20
"356","Hug","Stop",2.30555555555556,0.871333483921,"ac.americans",20
"357","Stop","Long",2.30555555555556,0.871333483921,"ac.americans",20
"358","Long","Heard",2.30555555555556,0.871333483921,"ac.americans",20
"359","Heard","Hold",2.30555555555556,0.871333483921,"ac.americans",20
"360","Hold","Help",2.30555555555556,0.871333483921,"ac.americans",20
"361","Help","Seap",2.30555555555556,0.871333483921,"ac.americans",20
"362","Seap","Seal",2.30555555555556,0.871333483921,"ac.americans",20
"363","Seal","Sold",2.30555555555556,0.871333483921,"ac.americans",20
"364","Sold","Mold",2.30555555555556,0.871333483921,"ac.americans",20
"365","Mold","Feel",2.30555555555556,0.871333483921,"ac.americans",20
"366","Feel","Think",2.30555555555556,0.871333483921,"ac.americans",20
"367","Think","Told",2.30555555555556,0.871333483921,"ac.americans",20
"368","snow","Alaska",2.5,0.866925714,"ac.americans",21
"369","Alaska","Seal",2.5,0.866925714,"ac.americans",21
"370","Seal","Beach",2.5,0.866925714,"ac.americans",21
"371","Beach","Stones",2.5,0.866925714,"ac.americans",21
"372","Stones","Sounds",2.5,0.866925714,"ac.americans",21
"373","Sounds","Peace",2.5,0.866925714,"ac.americans",21
"374","Peace","Stress",2.5,0.866925714,"ac.americans",21
"375","Stress","Hospital",2.5,0.866925714,"ac.americans",21
"376","Hospital","Gangrene",2.5,0.866925714,"ac.americans",21
"377","Gangrene","Bacteria",2.5,0.866925714,"ac.americans",21
"378","Bacteria","Microscope",2.5,0.866925714,"ac.americans",21
"379","Microscope","Pond",2.5,0.866925714,"ac.americans",21
"380","Pond","Water",2.5,0.866925714,"ac.americans",21
"381","Water","Arboretum",2.5,0.866925714,"ac.americans",21
"382","Arboretum","Turtle",2.5,0.866925714,"ac.americans",21
"383","Turtle","Summer",2.5,0.866925714,"ac.americans",21
"384","Summer","Reeds",2.5,0.866925714,"ac.americans",21
"385","Reeds","Crickets",2.5,0.866925714,"ac.americans",21
"386","Crickets","Class",2.5,0.866925714,"ac.americans",21
"387","paper","trees",1.33333333333333,0.866601968566,"ac.americans",22
"388","trees","writing",1.33333333333333,0.866601968566,"ac.americans",22
"389","writing","machea",1.33333333333333,0.866601968566,"ac.americans",22
"390","machea","lights",1.33333333333333,0.866601968566,"ac.americans",22
"391","lights","shades",1.33333333333333,0.866601968566,"ac.americans",22
"392","shades","weight",1.33333333333333,0.866601968566,"ac.americans",22
"393","weight","moon",1.33333333333333,0.866601968566,"ac.americans",22
"394","moon","dolls",1.33333333333333,0.866601968566,"ac.americans",22
"395","dolls","news",1.33333333333333,0.866601968566,"ac.americans",22
"396","news","clip",1.33333333333333,0.866601968566,"ac.americans",22
"397","clip","cutter",1.33333333333333,0.866601968566,"ac.americans",22
"398","cutter","thin",1.33333333333333,0.866601968566,"ac.americans",22
"399","thin","filter",1.33333333333333,0.866601968566,"ac.americans",22
"400","filter","reciept",1.33333333333333,0.866601968566,"ac.americans",22
"401","reciept","straw",1.33333333333333,0.866601968566,"ac.americans",22
"402","straw","colored",1.33333333333333,0.866601968566,"ac.americans",22
"403","colored","legal",1.33333333333333,0.866601968566,"ac.americans",22
"404","legal","toilet",1.33333333333333,0.866601968566,"ac.americans",22
"405","toilet","towel",1.33333333333333,0.866601968566,"ac.americans",22
"406","snow","Fall",2.27777777777778,0.865900093939,"ac.americans",23
"407","Fall","Out",2.27777777777778,0.865900093939,"ac.americans",23
"408","Out","Side",2.27777777777778,0.865900093939,"ac.americans",23
"409","Side","Ways",2.27777777777778,0.865900093939,"ac.americans",23
"410","Ways","Afar",2.27777777777778,0.865900093939,"ac.americans",23
"411","Afar","Distance",2.27777777777778,0.865900093939,"ac.americans",23
"412","Distance","Runner",2.27777777777778,0.865900093939,"ac.americans",23
"413","Runner","Gofer",2.27777777777778,0.865900093939,"ac.americans",23
"414","Gofer","Rodent",2.27777777777778,0.865900093939,"ac.americans",23
"415","Rodent","Traveler",2.27777777777778,0.865900093939,"ac.americans",23
"416","Traveler","Homeless",2.27777777777778,0.865900093939,"ac.americans",23
"417","Homeless","Vulnerable",2.27777777777778,0.865900093939,"ac.americans",23
"418","Vulnerable","Mark",2.27777777777778,0.865900093939,"ac.americans",23
"419","Mark","Rube",2.27777777777778,0.865900093939,"ac.americans",23
"420","Rube","Sting",2.27777777777778,0.865900093939,"ac.americans",23
"421","Sting","Tantric",2.27777777777778,0.865900093939,"ac.americans",23
