"Word1" "Word2" "Creativity" "Class"
"88" "book" "amazon" 2.52777777777778 "Americans"
"89" "amazon" "credit" 2.52777777777778 "Americans"
"90" "credit" "gift" 2.52777777777778 "Americans"
"91" "gift" "ribbon" 2.52777777777778 "Americans"
"92" "ribbon" "colors" 2.52777777777778 "Americans"
"93" "colors" "red" 2.52777777777778 "Americans"
"94" "red" "firetruck" 2.52777777777778 "Americans"
"95" "firetruck" "subs" 2.52777777777778 "Americans"
"96" "subs" "cheese" 2.52777777777778 "Americans"
"97" "cheese" "lunch" 2.52777777777778 "Americans"
"98" "candle" "dandy" 1.58333333333333 "Americans"
"99" "dandy" "fanny" 1.58333333333333 "Americans"
"100" "fanny" "sandy" 1.58333333333333 "Americans"
"101" "sandy" "candy" 1.58333333333333 "Americans"
"102" "candy" "handy" 1.58333333333333 "Americans"
"103" "handy" "mandy" 1.58333333333333 "Americans"
"104" "mandy" "randy" 1.58333333333333 "Americans"
"105" "randy" "trendy" 1.58333333333333 "Americans"
"106" "trendy" "tend" 1.58333333333333 "Americans"
"107" "tend" "bend" 1.58333333333333 "Americans"
"108" "bend" "lend" 1.58333333333333 "Americans"
"109" "lend" "send" 1.58333333333333 "Americans"
"110" "send" "mend" 1.58333333333333 "Americans"
"111" "mend" "sat" 1.58333333333333 "Americans"
"112" "sat" "cat" 1.58333333333333 "Americans"
"113" "cat" "bat" 1.58333333333333 "Americans"
"114" "bat" "eat" 1.58333333333333 "Americans"
"115" "eat" "feat" 1.58333333333333 "Americans"
"116" "feat" "treat" 1.58333333333333 "Americans"
"117" "bear" "yellowstone" 2.47222222222222 "Americans"
"118" "yellowstone" "geiser" 2.47222222222222 "Americans"
"119" "geiser" "water" 2.47222222222222 "Americans"
"120" "water" "shrimp" 2.47222222222222 "Americans"
"121" "shrimp" "food" 2.47222222222222 "Americans"
"122" "food" "culture" 2.47222222222222 "Americans"
"123" "culture" "travel" 2.47222222222222 "Americans"
"124" "travel" "rome" 2.47222222222222 "Americans"
"125" "rome" "colosseum" 2.47222222222222 "Americans"
"126" "colosseum" "death" 2.47222222222222 "Americans"
"127" "death" "life" 2.47222222222222 "Americans"
"128" "life" "birth" 2.47222222222222 "Americans"
"129" "birth" "children" 2.47222222222222 "Americans"
"130" "children" "future" 2.47222222222222 "Americans"
"131" "future" "technology" 2.47222222222222 "Americans"
"132" "technology" "computer" 2.47222222222222 "Americans"
"133" "computer" "software" 2.47222222222222 "Americans"
"134" "software" "programming" 2.47222222222222 "Americans"
"135" "programming" "python" 2.47222222222222 "Americans"
"136" "python" "beautiful" 2.47222222222222 "Americans"
"137" "paper" "check" 2.47222222222222 "Americans"
"138" "check" "balance" 2.47222222222222 "Americans"
"139" "balance" "scale" 2.47222222222222 "Americans"
"140" "scale" "lime" 2.47222222222222 "Americans"
"141" "lime" "citrus" 2.47222222222222 "Americans"
"142" "citrus" "tomato" 2.47222222222222 "Americans"
"143" "tomato" "pepper" 2.47222222222222 "Americans"
"144" "pepper" "thought" 2.47222222222222 "Americans"
"145" "thought" "speech" 2.47222222222222 "Americans"
"146" "speech" "bubble" 2.47222222222222 "Americans"
"147" "bubble" "squeak" 2.47222222222222 "Americans"
"148" "squeak" "taco" 2.47222222222222 "Americans"
"149" "taco" "pittance" 2.47222222222222 "Americans"
"150" "pittance" "olive" 2.47222222222222 "Americans"
"151" "olive" "suspect" 2.47222222222222 "Americans"
"152" "suspect" "fishy" 2.47222222222222 "Americans"
"153" "fishy" "canned" 2.47222222222222 "Americans"
"154" "canned" "dwelling" 2.47222222222222 "Americans"
"155" "dwelling" "piece" 2.47222222222222 "Americans"
"156" "snow" "messy" 2.16666666666667 "Americans"
"157" "messy" "cluttered" 2.16666666666667 "Americans"
"158" "cluttered" "things" 2.16666666666667 "Americans"
"159" "things" "books" 2.16666666666667 "Americans"
"160" "books" "curiousity" 2.16666666666667 "Americans"
"161" "curiousity" "buying" 2.16666666666667 "Americans"
"162" "buying" "indulgence" 2.16666666666667 "Americans"
"163" "indulgence" "unneccessary" 2.16666666666667 "Americans"
"164" "unneccessary" "wanting" 2.16666666666667 "Americans"
"165" "wanting" "craving" 2.16666666666667 "Americans"
"166" "craving" "uncontrollable" 2.16666666666667 "Americans"
"167" "uncontrollable" "wild" 2.16666666666667 "Americans"
"168" "wild" "crazy" 2.16666666666667 "Americans"
"169" "crazy" "obsessive" 2.16666666666667 "Americans"
"170" "obsessive" "expensive" 2.16666666666667 "Americans"
"171" "expensive" "debt" 2.16666666666667 "Americans"
"172" "debt" "paying" 2.16666666666667 "Americans"
"173" "paying" "income" 2.16666666666667 "Americans"
"174" "income" "money" 2.16666666666667 "Americans"
"175" "paper" "mill" 1.94444444444444 "Americans"
"176" "mill" "millstone" 1.94444444444444 "Americans"
"177" "millstone" "quarry" 1.94444444444444 "Americans"
"178" "quarry" "water" 1.94444444444444 "Americans"
"179" "water" "air" 1.94444444444444 "Americans"
"180" "air" "plane" 1.94444444444444 "Americans"
"181" "plane" "airport" 1.94444444444444 "Americans"
"182" "airport" "travel" 1.94444444444444 "Americans"
"183" "travel" "ocean" 1.94444444444444 "Americans"
"184" "ocean" "lovely" 1.94444444444444 "Americans"
"185" "lovely" "relaxation" 1.94444444444444 "Americans"
"186" "relaxation" "love" 1.94444444444444 "Americans"
"187" "love" "peace" 1.94444444444444 "Americans"
"188" "peace" "harmony" 1.94444444444444 "Americans"
"189" "harmony" "woodstock" 1.94444444444444 "Americans"
"190" "woodstock" "hippy" 1.94444444444444 "Americans"
"191" "hippy" "commune" 1.94444444444444 "Americans"
"192" "commune" "peace" 1.94444444444444 "Americans"
"193" "peace" "love" 1.94444444444444 "Americans"
"194" "candle" "romantic" 1.63888888888889 "Americans"
"195" "romantic" "refreshing" 1.63888888888889 "Americans"
"196" "refreshing" "scented" 1.63888888888889 "Americans"
"197" "scented" "claimed" 1.63888888888889 "Americans"
"198" "claimed" "holiday" 1.63888888888889 "Americans"
"199" "holiday" "dinner" 1.63888888888889 "Americans"
"200" "dinner" "light" 1.63888888888889 "Americans"
"201" "light" "warmth" 1.63888888888889 "Americans"
"202" "warmth" "relaxing" 1.63888888888889 "Americans"
"205" "refreshing" "wax" 1.63888888888889 "Americans"
"206" "wax" "wick" 1.63888888888889 "Americans"
"207" "wick" "designed" 1.63888888888889 "Americans"
"208" "designed" "brithday" 1.63888888888889 "Americans"
"209" "brithday" "anniversary" 1.63888888888889 "Americans"
"210" "anniversary" "wedding" 1.63888888888889 "Americans"
"211" "wedding" "vacation" 1.63888888888889 "Americans"
"212" "vacation" "love" 1.63888888888889 "Americans"
"213" "love" "happy" 1.63888888888889 "Americans"
"214" "candle" "birthday" 1.88888888888889 "Americans"
"215" "birthday" "card" 1.88888888888889 "Americans"
"216" "card" "business" 1.88888888888889 "Americans"
"217" "business" "graduate" 1.88888888888889 "Americans"
"218" "graduate" "masters" 1.88888888888889 "Americans"
"219" "masters" "doctorate" 1.88888888888889 "Americans"
"220" "doctorate" "teach" 1.88888888888889 "Americans"
"223" "job" "doctor" 1.88888888888889 "Americans"
"224" "doctor" "nurse" 1.88888888888889 "Americans"
"225" "nurse" "blood" 1.88888888888889 "Americans"
"226" "blood" "test" 1.88888888888889 "Americans"
"227" "test" "positive" 1.88888888888889 "Americans"
"228" "positive" "chronics" 1.88888888888889 "Americans"
"229" "chronics" "dope" 1.88888888888889 "Americans"
"230" "dope" "drugs" 1.88888888888889 "Americans"
"231" "drugs" "stupid" 1.88888888888889 "Americans"
"232" "stupid" "illegal" 1.88888888888889 "Americans"
"233" "illegal" "jail" 1.88888888888889 "Americans"
"234" "jail" "cliff" 1.88888888888889 "Americans"
"235" "paper" "money" 1.61111111111111 "Americans"
"236" "money" "worthless" 1.61111111111111 "Americans"
"237" "worthless" "gold" 1.61111111111111 "Americans"
"238" "gold" "value" 1.61111111111111 "Americans"
"239" "value" "bargin" 1.61111111111111 "Americans"
"240" "bargin" "sale" 1.61111111111111 "Americans"
"241" "sale" "black" 1.61111111111111 "Americans"
"242" "black" "friday" 1.61111111111111 "Americans"
"243" "friday" "thanksgiving" 1.61111111111111 "Americans"
"244" "thanksgiving" "holiday" 1.61111111111111 "Americans"
"245" "holiday" "vacation" 1.61111111111111 "Americans"
"246" "vacation" "new" 1.61111111111111 "Americans"
"247" "new" "orleans" 1.61111111111111 "Americans"
"248" "orleans" "voodoo" 1.61111111111111 "Americans"
"249" "voodoo" "food" 1.61111111111111 "Americans"
"250" "food" "two" 1.61111111111111 "Americans"
"251" "two" "sisters" 1.61111111111111 "Americans"
"252" "sisters" "crawfish" 1.61111111111111 "Americans"
"253" "crawfish" "gater" 1.61111111111111 "Americans"
"254" "gater" "bayou" 1.61111111111111 "Americans"
"255" "bayou" "burbon" 1.61111111111111 "Americans"
"256" "burbon" "st" 1.61111111111111 "Americans"
"257" "st" "mardi" 1.61111111111111 "Americans"
"258" "mardi" "gra" 1.61111111111111 "Americans"
"259" "toaster" "oven" 2.13888888888889 "Americans"
"260" "oven" "maker" 2.13888888888889 "Americans"
"261" "maker" "fantastic" 2.13888888888889 "Americans"
"262" "fantastic" "bubbles" 2.13888888888889 "Americans"
"263" "bubbles" "gum" 2.13888888888889 "Americans"
"264" "gum" "road" 2.13888888888889 "Americans"
"265" "road" "softball" 2.13888888888889 "Americans"
"266" "softball" "reed" 2.13888888888889 "Americans"
"267" "reed" "hunting" 2.13888888888889 "Americans"
"268" "hunting" "fishing" 2.13888888888889 "Americans"
"269" "fishing" "rainbow" 2.13888888888889 "Americans"
"270" "rainbow" "gold" 2.13888888888889 "Americans"
"271" "gold" "silver" 2.13888888888889 "Americans"
"272" "silver" "rust" 2.13888888888889 "Americans"
"273" "rust" "water" 2.13888888888889 "Americans"
"274" "water" "oxygen" 2.13888888888889 "Americans"
"275" "oxygen" "hydride" 2.13888888888889 "Americans"
"276" "hydride" "ben" 2.13888888888889 "Americans"
"277" "ben" "chemistry" 2.13888888888889 "Americans"
"278" "table" "dexter" 1.77777777777778 "Americans"
"279" "dexter" "fund" 1.77777777777778 "Americans"
"280" "fund" "absolute" 1.77777777777778 "Americans"
"285" "vagina" "public" 1.77777777777778 "Americans"
"292" "total" "commitment" 1.77777777777778 "Americans"
"299" "love" "peace" 1.77777777777778 "Americans"
"300" "peace" "truth" 1.77777777777778 "Americans"
"301" "truth" "forgiveness" 1.77777777777778 "Americans"
"304" "absolution" "free" 1.77777777777778 "Americans"
"305" "free" "power" 1.77777777777778 "Americans"
"306" "toaster" "oven" 1.63888888888889 "Americans"
"307" "oven" "cheese" 1.63888888888889 "Americans"
"308" "cheese" "grilled" 1.63888888888889 "Americans"
"309" "grilled" "barbecue" 1.63888888888889 "Americans"
"310" "barbecue" "summer" 1.63888888888889 "Americans"
"311" "summer" "soft" 1.63888888888889 "Americans"
"312" "soft" "breeze" 1.63888888888889 "Americans"
"313" "breeze" "jazz" 1.63888888888889 "Americans"
"314" "jazz" "piano" 1.63888888888889 "Americans"
"315" "piano" "improvisation" 1.63888888888889 "Americans"
"316" "improvisation" "harmony" 1.63888888888889 "Americans"
"317" "harmony" "rhythm" 1.63888888888889 "Americans"
"318" "rhythm" "syncopation" 1.63888888888889 "Americans"
"319" "syncopation" "time" 1.63888888888889 "Americans"
"320" "time" "signature" 1.63888888888889 "Americans"
"321" "signature" "concerto" 1.63888888888889 "Americans"
"322" "concerto" "for" 1.63888888888889 "Americans"
"323" "for" "orchestra" 1.63888888888889 "Americans"
"324" "orchestra" "blues" 1.63888888888889 "Americans"
"325" "snow" "blower" 1.36111111111111 "Americans"
"326" "blower" "shovel" 1.36111111111111 "Americans"
"327" "shovel" "plow" 1.36111111111111 "Americans"
"328" "plow" "storm" 1.36111111111111 "Americans"
"329" "storm" "skis" 1.36111111111111 "Americans"
"330" "skis" "board" 1.36111111111111 "Americans"
"331" "board" "chains" 1.36111111111111 "Americans"
"332" "chains" "bunny" 1.36111111111111 "Americans"
"333" "bunny" "drift" 1.36111111111111 "Americans"
"334" "drift" "feild" 1.36111111111111 "Americans"
"335" "feild" "flack" 1.36111111111111 "Americans"
"336" "flack" "show" 1.36111111111111 "Americans"
"337" "show" "cone" 1.36111111111111 "Americans"
"338" "cone" "moblie" 1.36111111111111 "Americans"
"339" "moblie" "cave" 1.36111111111111 "Americans"
"340" "cave" "bank" 1.36111111111111 "Americans"
"341" "bank" "jump" 1.36111111111111 "Americans"
"342" "jump" "shoes" 1.36111111111111 "Americans"
"343" "shoes" "bug" 1.36111111111111 "Americans"
"344" "toaster" "brown" 1.94444444444444 "Americans"
"345" "brown" "crispy" 1.94444444444444 "Americans"
"346" "crispy" "bread" 1.94444444444444 "Americans"
"347" "bread" "bagels" 1.94444444444444 "Americans"
"348" "bagels" "butter" 1.94444444444444 "Americans"
"349" "butter" "jelly" 1.94444444444444 "Americans"
"350" "jelly" "jam" 1.94444444444444 "Americans"
"351" "jam" "preserves" 1.94444444444444 "Americans"
"352" "preserves" "animals" 1.94444444444444 "Americans"
"353" "animals" "wildlife" 1.94444444444444 "Americans"
"354" "wildlife" "sqirrels" 1.94444444444444 "Americans"
"355" "sqirrels" "possums" 1.94444444444444 "Americans"
"356" "possums" "rabbits" 1.94444444444444 "Americans"
"357" "rabbits" "hutch" 1.94444444444444 "Americans"
"358" "hutch" "dinnerware" 1.94444444444444 "Americans"
"359" "dinnerware" "linens" 1.94444444444444 "Americans"
"360" "linens" "towels" 1.94444444444444 "Americans"
"361" "towels" "sheets" 1.94444444444444 "Americans"
"362" "sheets" "bedding" 1.94444444444444 "Americans"
"363" "toaster" "strudel" 2 "Americans"
"364" "strudel" "travel" 2 "Americans"
"365" "travel" "suitcase" 2 "Americans"
"366" "suitcase" "folding" 2 "Americans"
"367" "folding" "ironing" 2 "Americans"
"368" "ironing" "laundry" 2 "Americans"
"369" "laundry" "hangers" 2 "Americans"
"370" "hangers" "closet" 2 "Americans"
"371" "closet" "house" 2 "Americans"
"372" "house" "street" 2 "Americans"
"373" "street" "park" 2 "Americans"
"374" "park" "pool" 2 "Americans"
"375" "pool" "dog" 2 "Americans"
"376" "dog" "tree" 2 "Americans"
"377" "tree" "leaves" 2 "Americans"
"378" "leaves" "roses" 2 "Americans"
"379" "roses" "vines" 2 "Americans"
"380" "vines" "horse" 2 "Americans"
"381" "horse" "cow" 2 "Americans"
"382" "toaster" "hamster" 2.30555555555556 "Americans"
"383" "hamster" "frog" 2.30555555555556 "Americans"
"384" "frog" "word" 2.30555555555556 "Americans"
"385" "word" "leap" 2.30555555555556 "Americans"
"386" "leap" "lead" 2.30555555555556 "Americans"
"387" "lead" "strong" 2.30555555555556 "Americans"
"388" "strong" "hug" 2.30555555555556 "Americans"
"389" "hug" "stop" 2.30555555555556 "Americans"
"390" "stop" "long" 2.30555555555556 "Americans"
"391" "long" "heard" 2.30555555555556 "Americans"
"392" "heard" "hold" 2.30555555555556 "Americans"
"393" "hold" "help" 2.30555555555556 "Americans"
"394" "help" "seap" 2.30555555555556 "Americans"
"395" "seap" "seal" 2.30555555555556 "Americans"
"396" "seal" "sold" 2.30555555555556 "Americans"
"397" "sold" "mold" 2.30555555555556 "Americans"
"398" "mold" "feel" 2.30555555555556 "Americans"
"399" "feel" "think" 2.30555555555556 "Americans"
"400" "think" "told" 2.30555555555556 "Americans"
"401" "snow" "alaska" 2.5 "Americans"
"402" "alaska" "seal" 2.5 "Americans"
"403" "seal" "beach" 2.5 "Americans"
"404" "beach" "stones" 2.5 "Americans"
"405" "stones" "sounds" 2.5 "Americans"
"406" "sounds" "peace" 2.5 "Americans"
"407" "peace" "stress" 2.5 "Americans"
"408" "stress" "hospital" 2.5 "Americans"
"409" "hospital" "gangrene" 2.5 "Americans"
"410" "gangrene" "bacteria" 2.5 "Americans"
"411" "bacteria" "microscope" 2.5 "Americans"
"412" "microscope" "pond" 2.5 "Americans"
"416" "water" "arboretum" 2.5 "Americans"
"417" "arboretum" "turtle" 2.5 "Americans"
"418" "turtle" "summer" 2.5 "Americans"
"419" "summer" "reeds" 2.5 "Americans"
"420" "reeds" "crickets" 2.5 "Americans"
"421" "crickets" "class" 2.5 "Americans"
"422" "paper" "trees" 1.33333333333333 "Americans"
"423" "trees" "writing" 1.33333333333333 "Americans"
"424" "writing" "machea" 1.33333333333333 "Americans"
"425" "machea" "lights" 1.33333333333333 "Americans"
"426" "lights" "shades" 1.33333333333333 "Americans"
"427" "shades" "weight" 1.33333333333333 "Americans"
"428" "weight" "moon" 1.33333333333333 "Americans"
"429" "moon" "dolls" 1.33333333333333 "Americans"
"430" "dolls" "news" 1.33333333333333 "Americans"
"431" "news" "clip" 1.33333333333333 "Americans"
"432" "clip" "cutter" 1.33333333333333 "Americans"
"433" "cutter" "thin" 1.33333333333333 "Americans"
"434" "thin" "filter" 1.33333333333333 "Americans"
"435" "filter" "reciept" 1.33333333333333 "Americans"
"436" "reciept" "straw" 1.33333333333333 "Americans"
"437" "straw" "colored" 1.33333333333333 "Americans"
"438" "colored" "legal" 1.33333333333333 "Americans"
"439" "legal" "toilet" 1.33333333333333 "Americans"
"440" "toilet" "towel" 1.33333333333333 "Americans"
"441" "snow" "fall" 2.27777777777778 "Americans"
"444" "out" "side" 2.27777777777778 "Americans"
"445" "side" "ways" 2.27777777777778 "Americans"
"446" "ways" "afar" 2.27777777777778 "Americans"
"447" "afar" "distance" 2.27777777777778 "Americans"
"448" "distance" "runner" 2.27777777777778 "Americans"
"449" "runner" "gofer" 2.27777777777778 "Americans"
"450" "gofer" "rodent" 2.27777777777778 "Americans"
"451" "rodent" "traveler" 2.27777777777778 "Americans"
"452" "traveler" "homeless" 2.27777777777778 "Americans"
"453" "homeless" "vulnerable" 2.27777777777778 "Americans"
"454" "vulnerable" "mark" 2.27777777777778 "Americans"
"455" "mark" "rube" 2.27777777777778 "Americans"
"456" "rube" "sting" 2.27777777777778 "Americans"
"457" "sting" "tantric" 2.27777777777778 "Americans"
"458" "tantric" "india" 2.27777777777778 "Americans"
"459" "india" "spicy" 2.27777777777778 "Americans"
"460" "spicy" "sweat" 2.27777777777778 "Americans"
"461" "table" "salt" 1.75 "Americans"
"462" "salt" "seasoning" 1.75 "Americans"
"463" "seasoning" "spicy" 1.75 "Americans"
"464" "spicy" "hot" 1.75 "Americans"
"465" "hot" "summer" 1.75 "Americans"
"466" "summer" "cookouts" 1.75 "Americans"
"467" "cookouts" "food" 1.75 "Americans"
"468" "food" "organic" 1.75 "Americans"
"469" "organic" "healthy" 1.75 "Americans"
"470" "healthy" "exercise" 1.75 "Americans"
"471" "exercise" "jog" 1.75 "Americans"
"472" "jog" "walk" 1.75 "Americans"
"473" "walk" "dog" 1.75 "Americans"
"474" "dog" "animal" 1.75 "Americans"
"475" "animal" "panda" 1.75 "Americans"
"476" "panda" "china" 1.75 "Americans"
"477" "china" "adoption" 1.75 "Americans"
"478" "adoption" "girl" 1.75 "Americans"
"479" "girl" "child" 1.75 "Americans"
"480" "bear" "cub" 1.77777777777778 "Americans"
"481" "cub" "scout" 1.77777777777778 "Americans"
"482" "scout" "paw" 1.77777777777778 "Americans"
"483" "paw" "overbearing" 1.77777777777778 "Americans"
"484" "overbearing" "hearable" 1.77777777777778 "Americans"
"485" "hearable" "bearing" 1.77777777777778 "Americans"
"486" "bearing" "ball" 1.77777777777778 "Americans"
"487" "ball" "strait" 1.77777777777778 "Americans"
"488" "strait" "mountain" 1.77777777777778 "Americans"
"489" "mountain" "town" 1.77777777777778 "Americans"
"490" "town" "buckle" 1.77777777777778 "Americans"
"491" "buckle" "none" 1.77777777777778 "Americans"
"492" "none" "teddy" 1.77777777777778 "Americans"
"493" "teddy" "panda" 1.77777777777778 "Americans"
"494" "panda" "brown" 1.77777777777778 "Americans"
"495" "brown" "black" 1.77777777777778 "Americans"
"496" "black" "kodiak" 1.77777777777778 "Americans"
"497" "kodiak" "grizzly" 1.77777777777778 "Americans"
"498" "grizzly" "polar" 1.77777777777778 "Americans"
"499" "table" "top" 1.30555555555556 "Americans"
"500" "top" "spin" 1.30555555555556 "Americans"
"501" "spin" "city" 1.30555555555556 "Americans"
"502" "city" "limit" 1.30555555555556 "Americans"
"503" "limit" "break" 1.30555555555556 "Americans"
"504" "break" "off" 1.30555555555556 "Americans"
"505" "off" "season" 1.30555555555556 "Americans"
"506" "season" "game" 1.30555555555556 "Americans"
"507" "game" "throne" 1.30555555555556 "Americans"
"508" "throne" "king" 1.30555555555556 "Americans"
"509" "king" "cards" 1.30555555555556 "Americans"
"510" "cards" "valentine" 1.30555555555556 "Americans"
"511" "valentine" "heart" 1.30555555555556 "Americans"
"512" "heart" "surgeon" 1.30555555555556 "Americans"
"513" "surgeon" "operate" 1.30555555555556 "Americans"
"514" "operate" "blood" 1.30555555555556 "Americans"
"515" "blood" "drive" 1.30555555555556 "Americans"
"516" "drive" "car" 1.30555555555556 "Americans"
"517" "car" "vehicle" 1.30555555555556 "Americans"
"518" "bear" "pear" 1.41666666666667 "Americans"
"519" "pear" "peach" 1.41666666666667 "Americans"
"520" "peach" "beach" 1.41666666666667 "Americans"
"521" "beach" "leech" 1.41666666666667 "Americans"
"522" "leech" "reach" 1.41666666666667 "Americans"
"523" "reach" "keep" 1.41666666666667 "Americans"
"524" "keep" "leap" 1.41666666666667 "Americans"
"525" "leap" "lunch" 1.41666666666667 "Americans"
"526" "lunch" "bunch" 1.41666666666667 "Americans"
"527" "bunch" "drunk" 1.41666666666667 "Americans"
"528" "drunk" "rink" 1.41666666666667 "Americans"
"529" "rink" "big" 1.41666666666667 "Americans"
"530" "big" "small" 1.41666666666667 "Americans"
"531" "small" "medium" 1.41666666666667 "Americans"
"532" "medium" "large" 1.41666666666667 "Americans"
"533" "large" "round" 1.41666666666667 "Americans"
"534" "round" "square" 1.41666666666667 "Americans"
"535" "square" "fat" 1.41666666666667 "Americans"
"536" "fat" "skinny" 1.41666666666667 "Americans"
"537" "paper" "rock" 2.13888888888889 "Americans"
"538" "rock" "scissors" 2.13888888888889 "Americans"
"539" "scissors" "ribbon" 2.13888888888889 "Americans"
"540" "ribbon" "pin" 2.13888888888889 "Americans"
"541" "pin" "sewing" 2.13888888888889 "Americans"
"542" "sewing" "machine" 2.13888888888889 "Americans"
"545" "craft" "present" 2.13888888888889 "Americans"
"546" "present" "christmas" 2.13888888888889 "Americans"
"547" "christmas" "santa" 2.13888888888889 "Americans"
"548" "santa" "celebrate" 2.13888888888889 "Americans"
"549" "celebrate" "birthday" 2.13888888888889 "Americans"
"550" "birthday" "may" 2.13888888888889 "Americans"
"551" "may" "flowers" 2.13888888888889 "Americans"
"552" "flowers" "showers" 2.13888888888889 "Americans"
"553" "showers" "rain" 2.13888888888889 "Americans"
"554" "rain" "clouds" 2.13888888888889 "Americans"
"555" "clouds" "tomorrow" 2.13888888888889 "Americans"
"556" "tomorrow" "temperature" 2.13888888888889 "Americans"
"557" "paper" "doll" 1.05555555555556 "Americans"
"558" "doll" "cut" 1.05555555555556 "Americans"
"559" "cut" "machae" 1.05555555555556 "Americans"
"560" "machae" "clip" 1.05555555555556 "Americans"
"561" "clip" "receipt" 1.05555555555556 "Americans"
"562" "receipt" "ball" 1.05555555555556 "Americans"
"563" "ball" "shreds" 1.05555555555556 "Americans"
"564" "shreds" "back" 1.05555555555556 "Americans"
"565" "back" "magazine" 1.05555555555556 "Americans"
"566" "magazine" "draw" 1.05555555555556 "Americans"
"567" "draw" "ripped" 1.05555555555556 "Americans"
"568" "ripped" "news" 1.05555555555556 "Americans"
"569" "news" "colored" 1.05555555555556 "Americans"
"570" "colored" "typing" 1.05555555555556 "Americans"
"571" "typing" "graph" 1.05555555555556 "Americans"
"572" "graph" "game" 1.05555555555556 "Americans"
"573" "game" "write" 1.05555555555556 "Americans"
"574" "write" "scribble" 1.05555555555556 "Americans"
"575" "scribble" "card" 1.05555555555556 "Americans"
"576" "table" "legs" 1.13888888888889 "Americans"
"577" "legs" "human" 1.13888888888889 "Americans"
"578" "human" "mammal" 1.13888888888889 "Americans"
"579" "mammal" "whale" 1.13888888888889 "Americans"
"580" "whale" "ocean" 1.13888888888889 "Americans"
"581" "ocean" "fish" 1.13888888888889 "Americans"
